Retailer,Retailer_ID,Invoice_Date,Region,State,City,Product,Price_per_Unit,Quantity,Profit,Sales_Method
Foot Locker,1185732,3/7/2020,Northeast,New York,New York,Women's Athletic Footwear,50,900,157500,Outlet
Foot Locker,1185732,3/8/2020,Northeast,New York,New York,Men's Apparel,60,900,162000,Outlet
Foot Locker,1185732,3/9/2020,Northeast,New York,New York,Women's Apparel,65,"1,050",170625,Outlet
Foot Locker,1185732,3/10/2020,Northeast,New York,New York,Men's Street Footwear,60,"1,275",382500,Outlet
Foot Locker,1185732,3/11/2020,Northeast,New York,New York,Men's Athletic Footwear,55,"1,025",169125,Outlet
Foot Locker,1185732,3/12/2020,Northeast,New York,New York,Women's Street Footwear,50,950,166250,Outlet
Foot Locker,1185732,3/13/2020,Northeast,New York,New York,Women's Athletic Footwear,50,900,157500,Outlet
Foot Locker,1185732,3/14/2020,Northeast,New York,New York,Men's Apparel,60,925,166500,Outlet
Foot Locker,1185732,3/15/2020,Northeast,New York,New York,Women's Apparel,65,"1,100",178750,Outlet
Foot Locker,1185732,3/16/2020,Northeast,New York,New York,Men's Street Footwear,60,"1,250",375000,Outlet
Foot Locker,1185732,3/17/2020,Northeast,New York,New York,Men's Athletic Footwear,55,"1,025",169125,Outlet
Foot Locker,1185732,3/18/2020,Northeast,New York,New York,Women's Street Footwear,50,950,166250,Outlet
Foot Locker,1185732,3/31/2020,Northeast,New York,New York,Women's Athletic Footwear,50,925,161875,Outlet
Walmart,1185732,4/17/2020,Northeast,New York,New York,Men's Apparel,60,900,162000,Outlet
Walmart,1185732,4/18/2020,Northeast,New York,New York,Women's Apparel,65,"1,075",174687.5,Outlet
Walmart,1185732,4/19/2020,Northeast,New York,New York,Men's Street Footwear,60,"1,200",360000,Outlet
Walmart,1185732,4/20/2020,Northeast,New York,New York,Men's Athletic Footwear,55,"1,000",165000,Outlet
Walmart,1185732,4/21/2020,Northeast,New York,New York,Women's Street Footwear,50,925,161875,Outlet
Walmart,1185732,4/22/2020,Northeast,New York,New York,Women's Athletic Footwear,50,900,157500,Outlet
Walmart,1185732,4/23/2020,Northeast,New York,New York,Men's Apparel,60,900,162000,Outlet
Walmart,1185732,4/24/2020,Northeast,New York,New York,Women's Apparel,65,"1,000",162500,Outlet
Walmart,1185732,4/25/2020,Northeast,New York,New York,Men's Apparel,65,875,170625,Outlet
Walmart,1185732,4/26/2020,Northeast,New York,New York,Women's Apparel,70,"1,000",175000,Outlet
Walmart,1185732,4/27/2020,Northeast,New York,New York,Men's Street Footwear,65,"1,150",373750,Outlet
Walmart,1185732,4/28/2020,Northeast,New York,New York,Men's Athletic Footwear,55,975,160875,Outlet
Walmart,1185732,4/29/2020,Northeast,New York,New York,Women's Street Footwear,55,920,177100,Outlet
Walmart,1185732,4/30/2020,Northeast,New York,New York,Women's Athletic Footwear,55,900,173250,Outlet
Walmart,1185732,5/1/2020,Northeast,New York,New York,Men's Apparel,65,875,170625,Outlet
Walmart,1185732,5/2/2020,Northeast,New York,New York,Women's Apparel,70,975,170625,Outlet
Walmart,1185732,5/3/2020,Northeast,New York,New York,Men's Street Footwear,65,"1,200",390000,Outlet
Walmart,1185732,5/4/2020,Northeast,New York,New York,Men's Athletic Footwear,55,"1,000",165000,Outlet
Walmart,1185732,5/5/2020,Northeast,New York,New York,Women's Street Footwear,55,950,182875,Outlet
Walmart,1185732,5/6/2020,Northeast,New York,New York,Women's Athletic Footwear,55,900,173250,Outlet
Walmart,1185732,5/7/2020,Northeast,New York,New York,Men's Apparel,65,900,175500,Outlet
Walmart,1185732,7/18/2020,Northeast,New York,New York,Women's Apparel,70,"1,000",175000,Outlet
Sports Direct,1197831,7/19/2020,Northeast,New York,New York,Men's Street Footwear,25,900,78750,Outlet
Sports Direct,1197831,7/20/2020,Northeast,New York,New York,Men's Athletic Footwear,35,900,110250,Outlet
Sports Direct,1197831,7/21/2020,Northeast,New York,New York,Women's Street Footwear,35,700,85750,Outlet
Sports Direct,1197831,7/22/2020,Northeast,New York,New York,Women's Athletic Footwear,35,700,110250,Outlet
Sports Direct,1197831,7/23/2020,South,Texas,Houston,Men's Apparel,40,550,66000,Outlet
Sports Direct,1197831,7/24/2020,South,Texas,Houston,Women's Apparel,35,700,122500,Outlet
Sports Direct,1197831,7/25/2020,South,Texas,Houston,Men's Street Footwear,25,850,74375,Outlet
Sports Direct,1197831,7/26/2020,South,Texas,Houston,Men's Athletic Footwear,35,850,104125,Outlet
Sports Direct,1197831,7/27/2020,South,Texas,Houston,Women's Street Footwear,35,675,82687.5,Outlet
Sports Direct,1197831,7/28/2020,South,Texas,Houston,Women's Athletic Footwear,35,625,98437.5,Outlet
Sports Direct,1197831,7/29/2020,South,Texas,Houston,Men's Apparel,40,500,60000,Outlet
Sports Direct,1197831,7/30/2020,South,Texas,Houston,Women's Apparel,35,700,122500,Outlet
Sports Direct,1197831,7/31/2020,South,Texas,Houston,Men's Street Footwear,30,875,91875,Outlet
Sports Direct,1197831,8/1/2020,South,Texas,Houston,Men's Athletic Footwear,40,875,122500,Outlet
Sports Direct,1197831,8/2/2020,South,Texas,Houston,Women's Street Footwear,35,700,85750,Outlet
Sports Direct,1197831,8/3/2020,South,Texas,Houston,Women's Athletic Footwear,40,600,108000,Outlet
Sports Direct,1197831,8/4/2020,South,Texas,Houston,Men's Apparel,45,500,67500,Outlet
Sports Direct,1197831,8/5/2020,South,Texas,Houston,Women's Apparel,40,650,130000,Outlet
Sports Direct,1197831,8/6/2020,South,Texas,Houston,Men's Street Footwear,30,900,94500,Outlet
Sports Direct,1197831,8/7/2020,South,Texas,Houston,Men's Athletic Footwear,40,900,126000,Outlet
Sports Direct,1197831,8/8/2020,South,Texas,Houston,Women's Street Footwear,35,725,88812.5,Outlet
Sports Direct,1197831,8/9/2020,South,Texas,Houston,Women's Athletic Footwear,40,625,112500,Outlet
Walmart,1197831,8/10/2020,South,Texas,Houston,Men's Apparel,45,525,70875,Outlet
Walmart,1197831,8/11/2020,South,Texas,Houston,Women's Apparel,40,800,160000,Outlet
Walmart,1197831,8/12/2020,South,Texas,Houston,Men's Street Footwear,30,925,97125,Outlet
Walmart,1197831,8/13/2020,South,Texas,Houston,Men's Athletic Footwear,40,925,129500,Outlet
Walmart,1197831,8/14/2020,South,Texas,Houston,Women's Street Footwear,35,775,94937.5,Outlet
Walmart,1197831,8/15/2020,South,Texas,Houston,Women's Athletic Footwear,40,700,126000,Outlet
Walmart,1197831,8/16/2020,South,Texas,Houston,Men's Apparel,45,600,81000,Outlet
Walmart,1197831,8/17/2020,South,Texas,Houston,Women's Apparel,40,950,190000,Outlet
Walmart,1197831,8/18/2020,South,Texas,Houston,Men's Street Footwear,40,950,133000,Outlet
Walmart,1197831,8/19/2020,South,Texas,Houston,Men's Athletic Footwear,45,950,149625,Outlet
Walmart,1197831,8/20/2020,South,Texas,Houston,Women's Street Footwear,40,800,112000,Outlet
Walmart,1197831,8/21/2020,South,Texas,Houston,Women's Athletic Footwear,40,750,135000,Outlet
Walmart,1197831,8/22/2020,South,Texas,Houston,Men's Apparel,45,650,87750,Outlet
Walmart,1197831,8/23/2020,South,Texas,Houston,Women's Apparel,50,"1,000",250000,Outlet
Walmart,1197831,8/24/2020,South,Texas,Houston,Men's Street Footwear,40,950,133000,Outlet
Walmart,1197831,8/25/2020,South,Texas,Houston,Men's Athletic Footwear,45,950,149625,Outlet
Walmart,1197831,8/26/2020,South,Texas,Houston,Women's Street Footwear,40,"1,100",154000,Outlet
Walmart,1197831,8/27/2020,South,Texas,Houston,Women's Athletic Footwear,40,700,126000,Outlet
Walmart,1197831,8/28/2020,South,Texas,Houston,Men's Apparel,45,700,94500,Outlet
Walmart,1197831,8/29/2020,South,Texas,Houston,Women's Apparel,50,975,243750,Outlet
Walmart,1197831,8/30/2020,South,Texas,Houston,Men's Street Footwear,40,925,129500,Outlet
Walmart,1197831,8/31/2020,South,Texas,Houston,Men's Athletic Footwear,45,925,145687.5,Outlet
Walmart,1197831,9/1/2020,South,Texas,Houston,Women's Street Footwear,40,"1,100",154000,Outlet
Walmart,1197831,9/2/2020,South,Texas,Houston,Women's Athletic Footwear,40,650,117000,Outlet
Walmart,1197831,9/3/2020,South,Texas,Houston,Men's Apparel,45,650,87750,Outlet
Walmart,1197831,9/4/2020,South,Texas,Houston,Women's Apparel,50,900,225000,Outlet
Walmart,1197831,9/5/2020,South,Texas,Houston,Men's Street Footwear,45,850,133875,Outlet
Walmart,1197831,9/6/2020,South,Texas,Houston,Men's Athletic Footwear,45,850,133875,Outlet
Walmart,1197831,9/7/2020,South,Texas,Houston,Women's Street Footwear,50,900,157500,Outlet
Walmart,1197831,9/8/2020,South,Texas,Houston,Women's Athletic Footwear,50,625,140625,Outlet
Walmart,1197831,9/9/2020,South,Texas,Houston,Men's Apparel,45,625,84375,Outlet
Walmart,1197831,9/10/2020,South,Texas,Houston,Women's Apparel,55,850,233750,Outlet
Walmart,1197831,9/11/2020,South,Texas,Houston,Men's Street Footwear,45,800,126000,Outlet
Walmart,1197831,9/12/2020,South,Texas,Houston,Men's Athletic Footwear,45,800,126000,Outlet
Walmart,1197831,9/13/2020,South,Texas,Houston,Women's Street Footwear,50,750,131250,Outlet
Walmart,1197831,9/14/2020,South,Texas,Houston,Women's Athletic Footwear,50,600,135000,Outlet
Walmart,1197831,9/15/2020,South,Texas,Houston,Men's Apparel,45,575,77625,Outlet
Walmart,1197831,9/16/2020,South,Texas,Houston,Women's Apparel,55,750,206250,Outlet
Walmart,1197831,10/20/2020,South,Texas,Houston,Men's Street Footwear,45,900,141750,Outlet
Walmart,1197831,10/21/2020,South,Texas,Houston,Men's Athletic Footwear,45,900,141750,Outlet
Walmart,1197831,10/22/2020,South,Texas,Houston,Women's Street Footwear,50,825,144375,Outlet
Walmart,1197831,10/23/2020,South,Texas,Houston,Women's Athletic Footwear,50,675,151875,Outlet
Walmart,1197831,10/24/2020,South,Texas,Houston,Men's Apparel,45,650,87750,Outlet
Walmart,1197831,10/25/2020,South,Texas,Houston,Women's Apparel,55,850,233750,Outlet
Walmart,1197831,10/26/2020,South,Texas,Houston,Men's Street Footwear,45,950,149625,Outlet
Walmart,1197831,10/27/2020,South,Texas,Houston,Men's Athletic Footwear,45,950,149625,Outlet
Walmart,1197831,10/28/2020,South,Texas,Houston,Women's Street Footwear,50,850,148750,Outlet
Walmart,1197831,10/29/2020,South,Texas,Houston,Women's Athletic Footwear,50,700,157500,Outlet
Walmart,1197831,10/30/2020,South,Texas,Houston,Men's Apparel,45,650,87750,Outlet
Walmart,1197831,10/31/2020,South,Texas,Houston,Women's Apparel,55,900,247500,Outlet
West Gear,1128299,11/1/2020,South,Texas,Houston,Men's Street Footwear,40,775,108500,Outlet
West Gear,1128299,11/2/2020,South,Texas,Houston,Men's Athletic Footwear,50,775,77500,Outlet
West Gear,1128299,11/3/2020,South,Texas,Houston,Women's Street Footwear,50,775,135625,Outlet
West Gear,1128299,11/4/2020,South,Texas,Houston,Women's Athletic Footwear,50,625,93750,Outlet
West Gear,1128299,11/5/2020,West,California,San Francisco,Men's Apparel,55,575,158125,Outlet
West Gear,1128299,11/6/2020,West,California,San Francisco,Women's Apparel,50,775,58125,Outlet
West Gear,1128299,11/7/2020,West,California,San Francisco,Men's Street Footwear,40,825,115500,Outlet
West Gear,1128299,11/8/2020,West,California,San Francisco,Men's Athletic Footwear,50,725,72500,Outlet
West Gear,1128299,11/9/2020,West,California,San Francisco,Women's Street Footwear,50,725,126875,Outlet
West Gear,1128299,11/10/2020,West,California,San Francisco,Women's Athletic Footwear,50,575,86250,Outlet
West Gear,1128299,11/11/2020,West,California,San Francisco,Men's Apparel,55,500,137500,Outlet
West Gear,1128299,11/12/2020,West,California,San Francisco,Women's Apparel,50,700,52500,Outlet
West Gear,1128299,11/13/2020,West,California,San Francisco,Men's Street Footwear,50,850,148750,Outlet
West Gear,1128299,11/14/2020,West,California,San Francisco,Men's Athletic Footwear,60,700,84000,Outlet
West Gear,1128299,11/15/2020,West,California,San Francisco,Women's Street Footwear,60,700,147000,Outlet
West Gear,1128299,12/22/2020,West,California,San Francisco,Women's Athletic Footwear,60,600,108000,Outlet
West Gear,1128299,12/23/2020,West,California,San Francisco,Men's Apparel,65,500,162500,Outlet
West Gear,1128299,12/24/2020,West,California,San Francisco,Women's Apparel,60,700,63000,Outlet
West Gear,1128299,12/25/2020,West,California,San Francisco,Men's Street Footwear,60,875,183750,Outlet
West Gear,1128299,12/26/2020,West,California,San Francisco,Men's Athletic Footwear,65,675,87750,Outlet
West Gear,1128299,12/27/2020,West,California,San Francisco,Women's Street Footwear,65,725,164937.5,Outlet
West Gear,1128299,12/28/2020,West,California,San Francisco,Women's Athletic Footwear,60,625,112500,Outlet
West Gear,1128299,12/29/2020,West,California,San Francisco,Men's Apparel,65,525,170625,Outlet
West Gear,1128299,12/30/2020,West,California,San Francisco,Women's Apparel,80,700,84000,Outlet
West Gear,1128299,12/31/2020,West,California,San Francisco,Men's Street Footwear,60,900,216000,Outlet
West Gear,1128299,1/1/2021,West,California,San Francisco,Men's Athletic Footwear,65,750,121875,Outlet
West Gear,1128299,1/2/2021,West,California,San Francisco,Women's Street Footwear,65,750,195000,Outlet
West Gear,1128299,1/3/2021,West,California,San Francisco,Women's Athletic Footwear,60,650,136500,Outlet
West Gear,1128299,1/4/2021,West,California,San Francisco,Men's Apparel,65,550,196625,Outlet
West Gear,1128299,1/5/2021,West,California,San Francisco,Women's Apparel,80,725,116000,Outlet
West Gear,1128299,1/6/2021,West,California,San Francisco,Men's Street Footwear,60,975,234000,Outlet
West Gear,1128299,1/7/2021,West,California,San Francisco,Men's Athletic Footwear,65,825,134062.5,Outlet
West Gear,1128299,1/8/2021,West,California,San Francisco,Women's Street Footwear,65,825,214500,Outlet
West Gear,1128299,1/9/2021,West,California,San Francisco,Women's Athletic Footwear,60,700,147000,Outlet
West Gear,1128299,1/10/2021,West,California,San Francisco,Men's Apparel,65,575,205562.5,Outlet
West Gear,1128299,1/11/2021,West,California,San Francisco,Women's Apparel,80,875,140000,Outlet
West Gear,1128299,1/12/2021,West,California,San Francisco,Men's Street Footwear,60,"1,025",215250,Outlet
West Gear,1128299,1/13/2021,West,California,San Francisco,Men's Athletic Footwear,65,875,113750,Outlet
West Gear,1128299,1/14/2021,West,California,San Francisco,Women's Street Footwear,65,825,187687.5,Outlet
West Gear,1128299,1/15/2021,West,California,San Francisco,Women's Athletic Footwear,60,725,130500,Outlet
West Gear,1128299,1/16/2021,West,California,San Francisco,Men's Apparel,65,775,251875,Outlet
West Gear,1128299,1/17/2021,West,California,San Francisco,Women's Apparel,80,775,93000,Outlet
West Gear,1128299,1/18/2021,West,California,San Francisco,Men's Street Footwear,65,975,221812.5,Outlet
West Gear,1128299,1/19/2021,West,California,San Francisco,Men's Athletic Footwear,70,925,129500,Outlet
West Gear,1128299,1/20/2021,West,California,San Francisco,Women's Street Footwear,65,800,182000,Outlet
West Gear,1128299,1/21/2021,West,California,San Francisco,Women's Athletic Footwear,65,750,146250,Outlet
West Gear,1128299,1/22/2021,West,California,San Francisco,Men's Apparel,75,750,281250,Outlet
West Gear,1128299,1/23/2021,West,California,San Francisco,Women's Apparel,80,725,87000,Outlet
West Gear,1128299,1/24/2021,West,California,San Francisco,Men's Street Footwear,55,925,152625,Outlet
West Gear,1128299,1/25/2021,West,California,San Francisco,Men's Athletic Footwear,60,925,83250,Outlet
West Gear,1128299,1/26/2021,West,California,San Francisco,Women's Street Footwear,55,775,127875,Outlet
West Gear,1128299,1/27/2021,West,California,San Francisco,Women's Athletic Footwear,55,725,99687.5,Outlet
West Gear,1128299,1/28/2021,West,California,San Francisco,Men's Apparel,65,725,212062.5,Outlet
West Gear,1128299,1/29/2021,West,California,San Francisco,Women's Apparel,70,775,54250,Outlet
West Gear,1128299,1/30/2021,West,California,San Francisco,Men's Street Footwear,55,875,144375,Outlet
West Gear,1128299,1/31/2021,West,California,San Francisco,Men's Athletic Footwear,60,875,78750,Outlet
West Gear,1128299,2/1/2021,West,California,San Francisco,Women's Street Footwear,55,700,115500,Outlet
West Gear,1128299,2/2/2021,West,California,San Francisco,Women's Athletic Footwear,55,675,92812.5,Outlet
West Gear,1128299,2/3/2021,West,California,San Francisco,Men's Apparel,65,650,190125,Outlet
West Gear,1128299,2/4/2021,West,California,San Francisco,Women's Apparel,70,700,49000,Outlet
West Gear,1128299,2/5/2021,West,California,San Francisco,Men's Street Footwear,55,875,144375,Outlet
West Gear,1128299,2/6/2021,West,California,San Francisco,Men's Athletic Footwear,60,875,78750,Outlet
West Gear,1128299,2/7/2021,West,California,San Francisco,Women's Street Footwear,55,725,119625,Outlet
West Gear,1128299,2/8/2021,West,California,San Francisco,Women's Athletic Footwear,55,700,96250,Outlet
West Gear,1128299,2/9/2021,West,California,San Francisco,Men's Apparel,65,650,190125,Outlet
West Gear,1128299,2/10/2021,West,California,San Francisco,Women's Apparel,70,775,54250,Outlet
West Gear,1128299,2/11/2021,West,California,San Francisco,Men's Street Footwear,55,975,160875,Outlet
West Gear,1128299,2/12/2021,West,California,San Francisco,Men's Athletic Footwear,60,975,87750,Outlet
West Gear,1128299,2/13/2021,West,California,San Francisco,Women's Street Footwear,55,775,127875,Outlet
West Gear,1128299,2/14/2021,West,California,San Francisco,Women's Athletic Footwear,55,775,106562.5,Outlet
West Gear,1128299,2/15/2021,West,California,San Francisco,Men's Apparel,65,700,204750,Outlet
West Gear,1128299,2/16/2021,West,California,San Francisco,Women's Apparel,70,800,56000,Outlet
Kohl's,1189833,2/17/2021,West,California,San Francisco,Men's Street Footwear,35,700,98000,Outlet
Kohl's,1189833,2/18/2021,West,California,San Francisco,Men's Athletic Footwear,45,700,78750,Outlet
Kohl's,1189833,3/9/2021,West,California,San Francisco,Women's Street Footwear,45,700,126000,Outlet
Kohl's,1189833,3/10/2021,West,California,San Francisco,Women's Athletic Footwear,45,550,86625,Outlet
Kohl's,1189833,3/11/2021,West,California,Los Angeles,Men's Apparel,50,500,137500,Outlet
Kohl's,1189833,3/12/2021,West,California,Los Angeles,Women's Apparel,45,700,63000,Outlet
Kohl's,1189833,3/13/2021,West,California,Los Angeles,Men's Street Footwear,35,750,105000,Outlet
Kohl's,1189833,3/14/2021,West,California,Los Angeles,Men's Athletic Footwear,45,650,73125,Outlet
Kohl's,1189833,3/15/2021,West,California,Los Angeles,Women's Street Footwear,45,675,121500,Outlet
Kohl's,1189833,3/16/2021,West,California,Los Angeles,Women's Athletic Footwear,45,525,82687.5,Outlet
Kohl's,1189833,3/17/2021,West,California,Los Angeles,Men's Apparel,50,450,123750,Outlet
Kohl's,1189833,3/18/2021,West,California,Los Angeles,Women's Apparel,45,650,58500,Outlet
Kohl's,1189833,3/19/2021,West,California,Los Angeles,Men's Street Footwear,35,800,112000,Outlet
Kohl's,1189833,3/20/2021,West,California,Los Angeles,Men's Athletic Footwear,45,650,73125,Outlet
Kohl's,1189833,3/21/2021,West,California,Los Angeles,Women's Street Footwear,45,650,117000,Outlet
Kohl's,1189833,3/22/2021,West,California,Los Angeles,Women's Athletic Footwear,45,550,86625,Outlet
Kohl's,1189833,3/23/2021,West,California,Los Angeles,Men's Apparel,50,425,116875,Outlet
Kohl's,1189833,4/6/2021,West,California,Los Angeles,Women's Apparel,45,625,56250,Outlet
Kohl's,1189833,4/7/2021,West,California,Los Angeles,Men's Street Footwear,45,800,144000,Outlet
Kohl's,1189833,4/8/2021,West,California,Los Angeles,Men's Athletic Footwear,50,600,75000,Outlet
Kohl's,1189833,4/9/2021,West,California,Los Angeles,Women's Street Footwear,50,625,125000,Outlet
Kohl's,1189833,4/10/2021,West,California,Los Angeles,Women's Athletic Footwear,45,525,82687.5,Outlet
Kohl's,1189833,4/11/2021,West,California,Los Angeles,Men's Apparel,50,425,116875,Outlet
Kohl's,1189833,4/12/2021,West,California,Los Angeles,Women's Apparel,65,600,78000,Outlet
Kohl's,1189833,4/13/2021,West,California,Los Angeles,Men's Street Footwear,45,800,144000,Outlet
Kohl's,1189833,4/14/2021,West,California,Los Angeles,Men's Athletic Footwear,50,650,81250,Outlet
Kohl's,1189833,4/15/2021,West,California,Los Angeles,Women's Street Footwear,50,650,130000,Outlet
Kohl's,1189833,4/16/2021,West,California,Los Angeles,Women's Athletic Footwear,45,550,86625,Outlet
Kohl's,1189833,4/17/2021,West,California,Los Angeles,Men's Apparel,50,450,123750,Outlet
Kohl's,1189833,4/18/2021,West,California,Los Angeles,Women's Apparel,65,625,81250,Outlet
Kohl's,1189833,4/19/2021,West,California,Los Angeles,Men's Street Footwear,45,900,162000,Outlet
Kohl's,1189833,4/20/2021,West,California,Los Angeles,Men's Athletic Footwear,50,750,93750,Outlet
Kohl's,1189833,4/21/2021,West,California,Los Angeles,Women's Street Footwear,50,750,150000,Outlet
Kohl's,1189833,4/22/2021,West,California,Los Angeles,Women's Athletic Footwear,45,625,98437.5,Outlet
Kohl's,1189833,4/23/2021,West,California,Los Angeles,Men's Apparel,50,500,137500,Outlet
Kohl's,1189833,4/24/2021,West,California,Los Angeles,Women's Apparel,65,800,104000,Outlet
Kohl's,1189833,4/25/2021,West,California,Los Angeles,Men's Street Footwear,45,950,171000,Outlet
Kohl's,1189833,4/26/2021,West,California,Los Angeles,Men's Athletic Footwear,50,800,100000,Outlet
Kohl's,1189833,4/27/2021,West,California,Los Angeles,Women's Street Footwear,50,750,150000,Outlet
Kohl's,1189833,4/28/2021,West,California,Los Angeles,Women's Athletic Footwear,45,650,102375,Outlet
Kohl's,1189833,4/29/2021,West,California,Los Angeles,Men's Apparel,50,700,192500,Outlet
Kohl's,1189833,4/30/2021,West,California,Los Angeles,Women's Apparel,65,700,91000,Outlet
Kohl's,1189833,5/1/2021,West,California,Los Angeles,Men's Street Footwear,50,900,180000,Outlet
Kohl's,1189833,5/2/2021,West,California,Los Angeles,Men's Athletic Footwear,55,850,116875,Outlet
Kohl's,1189833,5/3/2021,West,California,Los Angeles,Women's Street Footwear,50,725,145000,Outlet
Kohl's,1189833,5/4/2021,West,California,Los Angeles,Women's Athletic Footwear,50,675,118125,Outlet
Kohl's,1189833,5/5/2021,West,California,Los Angeles,Men's Apparel,60,675,222750,Outlet
Kohl's,1189833,5/6/2021,West,California,Los Angeles,Women's Apparel,65,650,84500,Outlet
Kohl's,1189833,5/7/2021,West,California,Los Angeles,Men's Street Footwear,50,850,170000,Outlet
Kohl's,1189833,5/8/2021,West,California,Los Angeles,Men's Athletic Footwear,55,850,116875,Outlet
Kohl's,1189833,5/9/2021,West,California,Los Angeles,Women's Street Footwear,50,700,140000,Outlet
Kohl's,1189833,5/10/2021,West,California,Los Angeles,Women's Athletic Footwear,50,650,113750,Outlet
Kohl's,1189833,5/11/2021,West,California,Los Angeles,Men's Apparel,60,650,214500,Outlet
Kohl's,1189833,5/12/2021,West,California,Los Angeles,Women's Apparel,65,700,91000,Outlet
Kohl's,1189833,5/13/2021,West,California,Los Angeles,Men's Street Footwear,50,800,160000,Outlet
Kohl's,1189833,5/14/2021,West,California,Los Angeles,Men's Athletic Footwear,55,800,110000,Outlet
Kohl's,1189833,5/15/2021,West,California,Los Angeles,Women's Street Footwear,50,650,130000,Outlet
Kohl's,1189833,5/16/2021,West,California,Los Angeles,Women's Athletic Footwear,50,625,109375,Outlet
Kohl's,1189833,5/17/2021,West,California,Los Angeles,Men's Apparel,60,600,198000,Outlet
Kohl's,1189833,5/18/2021,West,California,Los Angeles,Women's Apparel,65,650,84500,Outlet
Kohl's,1189833,5/19/2021,West,California,Los Angeles,Men's Street Footwear,50,825,165000,Outlet
Kohl's,1189833,5/20/2021,West,California,Los Angeles,Men's Athletic Footwear,55,825,113437.5,Outlet
Kohl's,1189833,5/21/2021,West,California,Los Angeles,Women's Street Footwear,50,675,135000,Outlet
Kohl's,1189833,5/22/2021,West,California,Los Angeles,Women's Athletic Footwear,50,650,113750,Outlet
Kohl's,1189833,5/23/2021,West,California,Los Angeles,Men's Apparel,60,600,198000,Outlet
Kohl's,1189833,5/24/2021,West,California,Los Angeles,Women's Apparel,65,700,91000,Outlet
Kohl's,1189833,5/25/2021,West,California,Los Angeles,Men's Street Footwear,50,900,180000,Outlet
